200,200,200,200,200,200,200
200,200,200,200,200,200,200
200,200,155,155,155,200,200
200,200,155,155,155,200,200
200,200,155,155,155,200,200
200,200,160,200,200,200,200
200,200,160,200,200,200,200
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0,0,0,0,0,NaN
NaN,0,0,0,0,0,NaN
NaN,0,0,0,0,0,NaN
NaN,0,0,0,0,0,NaN
NaN,0,0,0,0,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1,1,1,1,1,NaN
NaN,1,25,8,4,1,NaN
NaN,1,8,5,2,1,NaN
NaN,1,4,2,4,1,NaN
NaN,1,2,1,1,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1,1,1,1,1,NaN
NaN,1,25,8,4,1,NaN
NaN,1,8,5,2,1,NaN
NaN,1,4,2,4,1,NaN
NaN,1,2,1,1,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,
200,200,200,200,200,200,200
200,200,200,200,200,200,200
200,200,155,155,155,200,200
200,200,155,155,155,200,200
200,200,155,155,155,200,200
200,200,160,200,200,200,200
200,200,160,200,200,200,200
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1,1,1,1,1,NaN
NaN,1,17,8,4,1,NaN
NaN,1,21,5,2,1,NaN
NaN,1,23,2,4,1,NaN
NaN,1,25,1,1,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1,1,1,1,1,NaN
NaN,1,25,8,4,1,NaN
NaN,1,8,5,2,1,NaN
NaN,1,4,2,4,1,NaN
NaN,1,2,1,1,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,1,1,1,1,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
